If,0,0,0
the,0,0,0
press,0,0,0
would,0,0,0
cover,0,0,0
me,0,0,0
accurately,1,0,0
honorably,1,0,0
I,0,0,0
would,0,0,0
have,0,0,0
far,0,0,0
less,0,0,0
reason,0,0,0
to,0,0,0
tweet,0,0,0
sadly,0,1,0
I,0,0,0
dont,0,0,0
know,0,0,0
absolutely,1,0,0
accepted,1,0,0
acclaimed,1,0,0
accomplish,1,0,0
accomplishment,1,0,0
achievement,1,0,0
action,1,0,0
active,1,0,0
admire,1,0,0
adorable,1,0,0
adventure,1,0,0
affirmative,1,0,0
affluent,1,0,0
agree,1,0,0
agreeable,1,0,0
amazing,1,0,0
angelic,1,0,0
appealing,1,0,0
approve,1,0,0
aptitude,1,0,0
attractive,1,0,0
awesome,1,0,0
beaming,1,0,0
beautiful,1,0,0
believe,1,0,0
beneficial,1,0,0
bliss,1,0,0
bountiful,1,0,0
bounty,1,0,0
brave,1,0,0
bravo,1,0,0
brilliant,1,0,0
bubbly,1,0,0
calm,1,0,0
celebrated,1,0,0
certain,1,0,0
champ,1,0,0
champion,1,0,0
charming,1,0,0
cheery,1,0,0
choice,1,0,0
classic,1,0,0
classical,1,0,0
clean,1,0,0
commend,1,0,0
composed,1,0,0
congratulation,1,0,0
constant,1,0,0
cool,1,0,0
courageous,1,0,0
creative,1,0,0
cute,1,0,0
dazzling,1,0,0
delight,1,0,0
delightful,1,0,0
distinguished,1,0,0
divine,1,0,0
earnest,1,0,0
easy,1,0,0
ecstatic,1,0,0
effective,1,0,0
effervescent,1,0,0
efficient,1,0,0
effortless,1,0,0
electrifying,1,0,0
elegant,1,0,0
enchanting,1,0,0
encouraging,1,0,0
endorsed,1,0,0
energetic,1,0,0
engerized,1,0,0
engaging,1,0,0
enthusiastic,1,0,0
essential,1,0,0
esteemed,1,0,0
ethical,1,0,0
excellent,1,0,0
exciting,1,0,0
exquisite,1,0,0
fabulous,1,0,0
fair,1,0,0
familiar,1,0,0
famous,1,0,0
fantastic,1,0,0
favorable,1,0,0
fetching,1,0,0
fine,1,0,0
fitting,1,0,0
flourishing,1,0,0
fortunate,1,0,0
free,1,0,0
fresh,1,0,0
friendly,1,0,0
fun,1,0,0
funny,1,0,0
generous,1,0,0
genius,1,0,0
genuine,1,0,0
giving,1,0,0
glamorous,1,0,0
glowing,1,0,0
good,1,0,0
gorgeous,1,0,0
graceful,1,0,0
great,1,0,0
green,1,0,0
grin,1,0,0
growing,1,0,0
handsome,1,0,0
happy,1,0,0
harmonious,1,0,0
healing,1,0,0
healthy,1,0,0
heartly,1,0,0
heavenly,1,0,0
honest,1,0,0
honorable,1,0,0
honored,1,0,0
hug,1,0,0
idea,1,0,0
ideal,1,0,0
imaginative,1,0,0
imagine,1,0,0
impressive,1,0,0
independent,1,0,0
innovative,1,0,0
innovate,1,0,0
instant,1,0,0
instantaneous,1,0,0
instinctive,1,0,0
intellectual,1,0,0
intelligent,1,0,0
intuitive,1,0,0
inventive,1,0,0
jovial,1,0,0
joy,1,0,0
jubilant,1,0,0
keen,1,0,0
kind,1,0,0
knowing,1,0,0
knowledgeable,1,0,0
laugh,1,0,0
learned,1,0,0
legendary,1,0,0
light,1,0,0
lively,1,0,0
lovely,1,0,0
lucid,1,0,0
lucky,1,0,0
luminous,1,0,0
marvelous,1,0,0
masterful,1,0,0
merit,1,0,0
meritorious,1,0,0
motivating,1,0,0
moving,1,0,0
nice,1,0,0
novel,1,0,0
now,1,0,0
nurturing,1,0,0
nutritious,1,0,0
okay,1,0,0
one,1,0,0
one-hundred percent,1,0,0
open,1,0,0
optimistic,1,0,0
paradise,1,0,0
perfect,1,0,0
phenomenal,1,0,0
pleasant,1,0,0
pleasurable,1,0,0
plentiful,1,0,0
poised,1,0,0
polished,1,0,0
popular,1,0,0
positive,1,0,0
powerful,1,0,0
prepared,1,0,0
pretty,1,0,0
principled,1,0,0
productive,1,0,0
